paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
Integration of neural network-based symbolic regression in deep learning for scientific discovery,Leveraging sparse linear layers for debuggable deep networks,Samuel Kim and Peter Y Lu and Srijon Mukherjee and Michael Gilbert and Li Jing and Vladimir Čeperić and Marin Soljačić,Eric Wong and Shibani Santurkar and Aleksander Madry,0.9239
Bliss: auto-tuning complex applications using a pool of diverse lightweight learning models,Green carbon footprint for model inference serving via exploiting mixed-quality models and gpu partitioning,Rohan Basu Roy and Tirthak Patel and Vijay Gadepally and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9239
Redeeming intrinsic rewards via constrained optimization,Scalable multi-agent reinforcement learning through intelligent information aggregation,Eric Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,Siddharth Nayak and Kenneth Choi and Wenqi Ding and Sydney Dolan and Karthik Gopalakrishnan and Hamsa Balakrishnan,0.9239
High-performance gpu-to-cpu transpilation and optimization via high-level parallel constructs,Automated translation and accelerated solving of differential equations on multiple GPU platforms,William S Moses and Ivan R Ivanov and Jens Domke and Toshio Endo and Johannes Doerfert and Oleksandr Zinenko,Utkarsh Utkarsh and Valentin Churavy and Yingbo Ma and Tim Besard and Prakitr Srisuma and Tim Gymnich and Adam R Gerlach and Alan Edelman and George Barbastathis and Richard D Braatz and Christopher Rackauckas,0.9239
Tight bounds for parallel paging and green paging,Multicore paging algorithms cannot be competitive,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,Shahin Kamali and Helen Xu,0.9239
Kairos: Building cost-efficient machine learning inference systems with heterogeneous cloud resources,Making Machine Learning on HPC Systems Cost-Effective and Carbon-Friendly,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li,0.9239
A polystore based database operating system (DBOS),Blueprinting the Cloud: Unifying and Automatically Optimizing Cloud Data Infrastructures with BRAD--Extended Version,Michael Cafarella and David DeWitt and Vijay Gadepally and Jeremy Kepner and Christos Kozyrakis and Tim Kraska and Michael Stonebraker and Matei Zaharia,Geoffrey X Yu and Ziniu Wu and Ferdi Kossmann and Tianyu Li and Markos Markakis and Amadou Ngom and Samuel Madden and Tim Kraska,0.9239
DASH: Scheduling deep learning workloads on multi-generational GPU-accelerated clusters,Optimizing Parallel Performance with Work and Span in the OpenCilk Compiler,Baolin Li and Tirthak Patel and Vijay Gadepally and Karen Gettings and Siddharth Samsi and Devesh Tiwari,Nikhil Reddy,0.9239
Tight bounds for parallel paging and green paging,Randomized cup game algorithms against strong adversaries,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,Michael A Bender and William Kuszmaul,0.9238
Space lower bounds for dynamic filters and value-dynamic retrieval,Optimal Non-Oblivious Open Addressing,William Kuszmaul and Stefan Walzer,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9238
Robust flight navigation out of distribution with liquid neural networks,Safediffuser: Safe planning with diffusion probabilistic models,Makram Chahine and Ramin Hasani and Patrick Kao and Aaron Ray and Ryan Shubert and Mathias Lechner and Alexander Amini and Daniela Rus,Wei Xiao and Tsun-Hsuan Wang and Chuang Gan and Daniela Rus,0.9237
Linear probing revisited: Tombstones mark the demise of primary clustering,Modern hashing made simple,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul,0.9237
Paging and the address-translation problem,Mosaic pages: big TLB reach with small pages,Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martín Farach-Colton and Rob Johnson and Sudarsun Kannan and William Kuszmaul and Nirjhar Mukherjee and Don Porter and Guido Tagliavini and Janet Vorobyeva and Evan West,Jaehyun Han and Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martín Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,0.9237
Deployment of real-time network traffic analysis using GraphBLAS hypersparse matrices and D4M associative arrays,Anonymized Network Sensing Graph Challenge,Michael Jones and Jeremy Kepner and Andrew Prout and Timothy Davis and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Lauren Milechin and Guillermo Morales and Julie Mullen and Ritesh Patel and Sandeep Pisharody and Albert Reuther and Antonio Rosa and Siddharth Samsi and Charles Yee and Peter Michaleas,Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Peter Michaleas and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Jeremy Kepner,0.9237
Generalization of model-agnostic meta-learning algorithms: Recurring and unseen tasks,"Train simultaneously, generalize better: Stability of gradient-based minimax learners",Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Farzan Farnia and Asuman Ozdaglar,0.9236
"Great power, great responsibility: Recommendations for reducing energy for training language models",Interventions to Reduce AI Energy Requirements,Joseph McDonald and Baolin Li and Nathan Frey and Devesh Tiwari and Vijay Gadepally and Siddharth Samsi,Daniel Edelman and Joseph McDonald and David Bestor and Michael Jones and Baolin Li and Devesh Tiwari and Dan Zhao and Siddharth Samsi and Vijay Gadepally,0.9236
Dribblebot: Dynamic legged manipulation in the wild,Learning to see physical properties with active sensing motor policies,Yandong Ji and Gabriel B Margolis and Pulkit Agrawal,Gabriel B Margolis and Xiang Fu and Yandong Ji and Pulkit Agrawal,0.9236
Characterizing multi-instance gpu for machine learning workloads,Green carbon footprint for model inference serving via exploiting mixed-quality models and gpu partitioning,Baolin Li and Viiay Gadepally and Siddharth Samsi and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9236
Online List Labeling: Breaking the  Barrier,Efficient d-ary Cuckoo Hashing at High Load Factors by Bubbling Up,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and William Kuszmaul and Nicole Wein,William Kuszmaul and Michael Mitzenmacher,0.9236
Cilkmem: Algorithms for analyzing the memory high-water mark of fork-join parallel programs,Optimizing Parallel Performance with Work and Span in the OpenCilk Compiler,Tim Kaler and William Kuszmaul and Tao B Schardl and Daniele Vettorel,Nikhil Reddy,0.9236
Space lower bounds for dynamic filters and value-dynamic retrieval,Nearly Optimal List Labeling,William Kuszmaul and Stefan Walzer,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and Michal Koucký and William Kuszmaul and Michael Saks,0.9236
Tight Bounds and Phase Transitions for Incremental and Dynamic Retrieval,Tight Analyses of Ordered and Unordered Linear Probing,William Kuszmaul and Aaron Putterman and Tingqiang Xu and Hangrui Zhou and Renfei Zhou,Mark Braverman and William Kuszmaul,0.9236
Neural circuit policies enabling auditable autonomy,Barriernet: Differentiable control barrier functions for learning of safe robot control,Mathias Lechner and Ramin Hasani and Alexander Amini and Thomas A Henzinger and Daniela Rus and Radu Grosu,Wei Xiao and Tsun-Hsuan Wang and Ramin Hasani and Makram Chahine and Alexander Amini and Xiao Li and Daniela Rus,0.9235
Miso: exploiting multi-instance gpu capability on multi-tenant gpu clusters,"John Holodnak, et al. Ai-enabling workloads on large-scale gpu-accelerated system: Characterization, opportunities, and implications",Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Rohin Arora and Siddharth Samsi and Tirthak Patel and William Arcand and David Bestor and Chansup Byun and Rohan Basu Roy and Bill Bergeron,0.9235
Compositional networks enable systematic generalization for grounded language understanding,Compositional rl agents that follow language commands in temporal logic,Yen-Ling Kuo and Boris Katz and Andrei Barbu,Yen-Ling Kuo and Boris Katz and Andrei Barbu,0.9235
Understanding reconstruction attacks with the neural tangent kernel and dataset distillation,Fast training of deep neural networks robust to adversarial perturbations,Noel Loo and Ramin Hasani and Mathias Lechner and Alexander Amini and Daniela Rus,Justin Goodwin and Olivia Brown and Victoria Helus,0.9235
Developing a series of ai challenges for the united states department of the air force,Technical Report: An Overview of Data Integration and Preparation,Vijay Gadepally and Gregory Angelides and Andrei Barbu and Andrew Bowne and Laura J Brattain and Tamara Broderick and Armando Cabrera and Glenn Carl and Ronisha Carter and Miriam Cha and Emilie Cowen and Jesse Cummings and Bill Freeman and James Glass and Sam Goldberg and Mark Hamilton and Thomas Heldt and Kuan Wei Huang and Phillip Isola and Boris Katz and Jamie Koerner and Yen-Chen Lin and David Mayo and Kyle McAlpin and Taylor Perron and Jean Piou and Hrishikesh M Rao and Hayley Reynolds and Kaira Samuel and Siddharth Samsi and Morgan Schmidt and Leslie Shing and Olga Simek and Brandon Swenson and Vivienne Sze and Jonathan Taylor and Paul Tylkin and Mark Veillette and Matthew L Weiss and Allan Wollaber and Sophia Yuditskaya and Jeremy Kepner,ElKindi Rezig and Mike Cafarella and Vijay Gadepally,0.9235
Contention Bounds for Locking Computations,Composing Parallel Runtime Systems: A Case Study in How to Compose the Julia and OpenCilk Runtimes,Wanlin Li,Tim Kralj,0.9235
Clover: Toward sustainable ai with carbon-aware machine learning inference service,Benchmarking resource usage for efficient distributed deep learning,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Nathan C Frey and Baolin Li and Joseph McDonald and Dan Zhao and Michael Jones and David Bestor and Devesh Tiwari and Vijay Gadepally and Siddharth Samsi,0.9234
Scalable automatic differentiation of multiple parallel paradigms through compiler augmentation,DASH: Scheduling deep learning workloads on multi-generational GPU-accelerated clusters,William S Moses and Sri Hari Krishna Narayanan and Ludger Paehler and Valentin Churavy and Michel Schanen and Jan Hückelheim and Johannes Doerfert and Paul Hovland,Baolin Li and Tirthak Patel and Vijay Gadepally and Karen Gettings and Siddharth Samsi and Devesh Tiwari,0.9234
Combining diverse feature priors,Multi-symmetry ensembles: improving diversity and generalization via opposing symmetries,Saachi Jain and Dimitris Tsipras and Aleksander Madry,Charlotte Loh and Seungwook Han and Shivchander Sudalairaj and Rumen Dangovski and Kai Xu and Florian Wenzel and Marin Soljacic and Akash Srivastava,0.9234
Randomized cup game algorithms against strong adversaries,Optimal Non-Oblivious Open Addressing,Michael A Bender and William Kuszmaul,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9234
Closing the gap between cache-oblivious and cache-adaptive analysis,"Increment-and-freeze: Every cache, everywhere, all of the time",Michael A Bender and Rezaul A Chowdhury and Rathish Das and Rob Johnson and William Kuszmaul and Andrea Lincoln and Quanquan C Liu and Jayson Lynch and Helen Xu,Michael A Bender and Daniel DeLayo and Bradley C Kuszmaul and William Kuszmaul and Evan West,0.9234
BP-Tree: Overcoming the Point-Range Operation Tradeoff for In-Memory B⁺-trees,Cache-Efficient Parallel-Partition Algorithms using Exclusive-Read-and-Write Memory,Amanda Li,Alek Westover and William Kuszmaul,0.9234
Causal navigation by continuous-time neural networks,Learning stability attention in vision-based end-to-end driving policies,Charles Vorbach and Ramin Hasani and Alexander Amini and Mathias Lechner and Daniela Rus,Tsun-Hsuan Wang and Wei Xiao and Makram Chahine and Alexander Amini and Ramin Hasani and Daniela Rus,0.9233
Scalable multi-agent reinforcement learning through intelligent information aggregation,Social interactions as recursive mdps,Siddharth Nayak and Kenneth Choi and Wenqi Ding and Sydney Dolan and Karthik Gopalakrishnan and Hamsa Balakrishnan,Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Boris Katz and Andrei Barbu,0.9233
Scalable automatic differentiation of multiple parallel paradigms through compiler augmentation,"John Holodnak, et al. Ai-enabling workloads on large-scale gpu-accelerated system: Characterization, opportunities, and implications",William S Moses and Sri Hari Krishna Narayanan and Ludger Paehler and Valentin Churavy and Michel Schanen and Jan Hückelheim and Johannes Doerfert and Paul Hovland,Baolin Li and Rohin Arora and Siddharth Samsi and Tirthak Patel and William Arcand and David Bestor and Chansup Byun and Rohan Basu Roy and Bill Bergeron,0.9233
Scalable automatic differentiation of multiple parallel paradigms through compiler augmentation,Batched sparse and mixed-precision linear algebra interface for efficient use of GPU hardware accelerators in scientific applications,William S Moses and Sri Hari Krishna Narayanan and Ludger Paehler and Valentin Churavy and Michel Schanen and Jan Hückelheim and Johannes Doerfert and Paul Hovland,Piotr Luszczek and Ahmad Abdelfattah and Hartwig Anzt and Atsushi Suzuki and Stanimire Tomov,0.9233
Linear probing revisited: Tombstones mark the demise of primary clustering,Optimal Non-Oblivious Open Addressing,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9233
Linear probing revisited: Tombstones mark the death of primary clustering,A Nearly Quadratic Improvement for Memory Reallocation,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Martin Farach-Colton and William Kuszmaul and Nathan S Sheffield and Alek Westover,0.9233
Reverse-mode automatic differentiation and optimization of GPU kernels via Enzyme,Transparent checkpointing for automatic differentiation of program loops through expression transformations,William S Moses and Valentin Churavy and Ludger Paehler and Jan Hückelheim and Sri Hari Krishna Narayanan and Michel Schanen and Johannes Doerfert,Michel Schanen and Sri Hari Krishna Narayanan and Sarah Williamson and Valentin Churavy and William S Moses and Ludger Paehler,0.9232
On the optimal time/space tradeoff for hash tables,History-Independent Dynamic Partitioning: Operation-Order Privacy in Ordered Data Structures,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul and Mingmou Liu,Michael A Bender and Martín Farach-Colton and Michael T Goodrich and Hanna Komlós,0.9232
Satellite navigation and coordination with limited information sharing,Spacecraft Orbiting and Uncertainty-Planning Surveillance,Sydney Dolan and Siddharth Nayak and Hamsa Balakrishnan,Joana N Nikolova,0.9232
Mapping of Internet “Coastlines” via Large Scale Anonymized Network Source Correlations,"From bits to insights: Exploring network traffic, traffic matrices, and heavy-tailed data",Hayden Jananthan and Jeremy Kepner and Michael Jones and William Arcand and David Bestor and William Bergeron and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Anna Klein and Lauren Milechin and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentl and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Tyler Trigg and Gabriel Wachman and Charles Yee and Peter Michaleas,Christopher Howard and Hayden Jananthan and Jeremy Kepner,0.9232
"From bits to insights: Exploring network traffic, traffic matrices, and heavy-tailed data",Focusing and calibration of large scale network sensors using graphblas anonymized hypersparse matrices,Christopher Howard and Hayden Jananthan and Jeremy Kepner,Jeremy Kepner and Michael Jones and Phil Dykstra and Chansup Byun and Timothy Davis and Hayden Jananthan and William Arcand and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Lauren Milechin and Guillermo Morales and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Tyler Trigg and Charles Yee and Peter Michaleas,0.9232
Discovering conservation laws using optimal transport and manifold learning,TENG: Time-evolving natural gradient for solving PDEs with deep neural nets toward machine precision,Peter Y Lu and Rumen Dangovski and Marin Soljačić,Zhuo Chen and Jacob McCarran and Esteban Vizcaino and Marin Soljačić and Di Luo,0.9231
All-purpose hashing,Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,William Kuszmaul,0.9231
Randomized cup game algorithms against strong adversaries,Efficient d-ary Cuckoo Hashing at High Load Factors by Bubbling Up,Michael A Bender and William Kuszmaul,William Kuszmaul and Michael Mitzenmacher,0.9231
Hypersparse network flow analysis of packets with graphblas,Keynote talk: large scale parallel sparse matrix streaming graph/network analysis,Tyler Trigg and Chad Meiners and Sandeep Pisharody and Hayden Jananthan and Michael Jones and Adam Michaleas and Timothy Davis and Erik Welch and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Peter Michaleas and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Charles Yee and Jeremy Kepner,Jeremy Kepner,0.9231
ABNet: Attention BarrierNet for Safe and Scalable Robot Learning,Learned Risk Metric Maps for Kinodynamic Systems,Wei Xiao and Tsun-Hsuan Wang and Daniela Rus,Ross E Allen and Wei Xiao and Daniela Rus,0.9231
Learning-based Scheduling,Redeeming intrinsic rewards via constrained policy optimization,Siddharth Nagar Nayak,Eric R Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,0.9231
On the convergence theory of gradient-based model-agnostic meta-learning algorithms,On the generalization error of meta learning for the Gibbs algorithm,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Yuheng Bu and Harsha Vardhan Tetali and Gholamali Aminian and Miguel Rodrigues and Gregory Wornell,0.923
Walk these ways: Tuning robot control for generalization with multiplicity of behavior,Learning to see physical properties with active sensing motor policies,Gabriel B Margolis and Pulkit Agrawal,Gabriel B Margolis and Xiang Fu and Yandong Ji and Pulkit Agrawal,0.923
Safediffuser: Safe planning with diffusion probabilistic models,ABNet: Attention BarrierNet for Safe and Scalable Robot Learning,Wei Xiao and Tsun-Hsuan Wang and Chuang Gan and Daniela Rus,Wei Xiao and Tsun-Hsuan Wang and Daniela Rus,0.923
The neural MMO platform for massively multiagent research,Scalable multi-agent reinforcement learning through intelligent information aggregation,Joseph Suarez and Yilun Du and Clare Zhu and Igor Mordatch and Phillip Isola,Siddharth Nayak and Kenneth Choi and Wenqi Ding and Sydney Dolan and Karthik Gopalakrishnan and Hamsa Balakrishnan,0.923
Llm inference serving: Survey of recent advances and opportunities,Load balancing and memory optimizations for expert parallel training of large language models,Baolin Li and Yankai Jiang and Vijay Gadepally and Devesh Tiwari,Daniel Wisdom,0.923
Modern hashing made simple,Incremental edge orientation in forests,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul,Michael A Bender and Tsvi Kopelowitz and William Kuszmaul and Ely Porat and Clifford Stein,0.923
Locally regularized neural differential equations: Some black boxes were meant to remain closed!,A Short Review of Automatic Differentiation Pitfalls in Scientific Computing,Avik Pal and Alan Edelman and Christopher Vincent Rackauckas,Jan Hueckelheim and Harshitha Menon and William S Moses and Bruce Christianson and Paul Hovland and Laurent Hascoet,0.923
Hypersparse network flow analysis of packets with graphblas,GraphBLAS on the Edge: High Performance Streaming of Network Traffic.,Tyler Trigg and Chad Meiners and Sandeep Pisharody and Hayden Jananthan and Michael Jones and Adam Michaleas and Timothy Davis and Erik Welch and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Peter Michaleas and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Charles Yee and Jeremy Kepner,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and C Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,0.923
Tight Bounds and Phase Transitions for Incremental and Dynamic Retrieval,A Nearly Quadratic Improvement for Memory Reallocation,William Kuszmaul and Aaron Putterman and Tingqiang Xu and Hangrui Zhou and Renfei Zhou,Martin Farach-Colton and William Kuszmaul and Nathan S Sheffield and Alek Westover,0.923
Trak: Attributing model behavior at scale,Dataset interfaces: Diagnosing model failures using controllable counterfactual generation,Sung Min Park and Kristian Georgiev and Andrew Ilyas and Guillaume Leclerc and Aleksander Madry,Joshua Vendrow and Saachi Jain and Logan Engstrom and Aleksander Madry,0.9229
Closed-form continuous-time neural networks,TENG: Time-Evolving Natural Gradient for Solving PDEs with Deep Neural Net,Ramin Hasani and Mathias Lechner and Alexander Amini and Lucas Liebenwein and Aaron Ray and Max Tschaikowski and Gerald Teschl and Daniela Rus,Zhuo Chen and Jacob McCarran and Esteban Vizcaino and Marin Soljačić and Di Luo,0.9229
Automatic differentiation of programs with discrete randomness,Transparent checkpointing for automatic differentiation of program loops through expression transformations,Gaurav Arya and Moritz Schauer and Frank Schäfer and Christopher Rackauckas,Michel Schanen and Sri Hari Krishna Narayanan and Sarah Williamson and Valentin Churavy and William S Moses and Ludger Paehler,0.9229
Green paging and parallel paging,Multicore Paging Algorithms Cannot Be Competitive,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,Helen Xu and Shahin Kamali,0.9229
The computational limits of deep learning,Leveraging sparse linear layers for debuggable deep networks,Neil C Thompson and Kristjan Greenewald and Keeheon Lee and Gabriel F Manso,Eric Wong and Shibani Santurkar and Aleksander Madry,0.9228
Reverse-mode automatic differentiation and optimization of GPU kernels via Enzyme,Using Multi-Instance GPU for Efficient Operation of Multi-Tenant GPU Clusters,William S Moses and Valentin Churavy and Ludger Paehler and Jan Hückelheim and Sri Hari Krishna Narayanan and Michel Schanen and Johannes Doerfert,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9228
Dataset distillation with convexified implicit gradients,Supplementary Information: Mitigating Confirmation Bias in Semi-supervised Learning via Efficient Bayesian Model Averaging,Noel Loo and Ramin Hasani and Mathias Lechner and Daniela Rus,Charlotte Loh and Rumen Dangovski,0.9228
A parallel packed memory array to store dynamic graphs,BP-Tree: Overcoming the Point-Range Operation Tradeoff for In-Memory B⁺-trees,Brian Wheatman and Helen Xu,Amanda Li,0.9228
"Multi-temporal analysis and scaling relations of 100,000,000,000 network packets",Prashant Pandey,Jeremy Kepner and Chad Meiners and Chansup Byun and Sarah McGuire and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Raul Harnasch and Matthew Hubbell and Micheal Houle and Micheal Jones and Andrew Kirby and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Helen Xu and Aydin Buluc,0.9228
"AI-assisted analysis of content, structure, and sentiment in MOOC discussion forums",How COVID-19 affected computer science MOOC learner behavior and achievements: A demographic study,Michael Yee and Anindya Roy and Meghan Perdue and Consuelo Cuevas and Keegan Quigley and Ana Bell and Ahaan Rungta and Shigeru Miyagawa,Anindya Roy and Michael Yee and Meghan Perdue and Julius Stein and Ana Bell and Ronisha Carter and Shigeru Miyagawa,0.9228
Tsunami: A learned multi-dimensional index for correlated data and skewed workloads,Lsched: A workload-aware learned query scheduler for analytical database systems,Jialin Ding and Vikram Nathan and Mohammad Alizadeh and Tim Kraska,Ibrahim Sabek and Tenzin Samten Ukyab and Tim Kraska,0.9227
Tsunami: A learned multi-dimensional index for correlated data and skewed workloads,CorBit: Leveraging Correlations for Compressing Bitmap Indexes.,Jialin Ding and Vikram Nathan and Mohammad Alizadeh and Tim Kraska,Xi Lyu and Andreas Kipf and Pascal Pfeil and Dominik Horn and Jana Giceva and Tim Kraska,0.9227
Robust flight navigation out of distribution with liquid neural networks,Are all vision models created equal? a study of the open-loop to closed-loop causality gap,Makram Chahine and Ramin Hasani and Patrick Kao and Aaron Ray and Ryan Shubert and Mathias Lechner and Alexander Amini and Daniela Rus,Mathias Lechner and Ramin Hasani and Alexander Amini and Tsun-Hsuan Wang and Thomas A Henzinger and Daniela Rus,0.9227
Barriernet: A safety-guaranteed layer for neural networks,Interpretable autonomous flight via compact visualizable neural circuit policies,Wei Xiao and Ramin Hasani and Xiao Li and Daniela Rus,Paul Tylkin and Tsun-Hsuan Wang and Kyle Palko and Ross Allen and Ho Chit Siu and Daniel Wrafter and Tim Seyde and Alexander Amini and Daniela Rus,0.9227
Trajectory prediction with linguistic representations,Compositional rl agents that follow language commands in temporal logic,Yen-Ling Kuo and Xin Huang and Andrei Barbu and Stephen G McGill and Boris Katz and John J Leonard and Guy Rosman,Yen-Ling Kuo and Boris Katz and Andrei Barbu,0.9227
Automated translation and accelerated solving of differential equations on multiple GPU platforms,Using Multi-Instance GPU for Efficient Operation of Multi-Tenant GPU Clusters,Utkarsh Utkarsh and Valentin Churavy and Yingbo Ma and Tim Besard and Prakitr Srisuma and Tim Gymnich and Adam R Gerlach and Alan Edelman and George Barbastathis and Richard D Braatz and Christopher Rackauckas,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9227
Interpretable autonomous flight via compact visualizable neural circuit policies,Autonomous flight arcade challenge: Single-and multi-agent learning environments for aerial vehicles,Paul Tylkin and Tsun-Hsuan Wang and Kyle Palko and Ross Allen and Ho Chit Siu and Daniel Wrafter and Tim Seyde and Alexander Amini and Daniela Rus,Paul Tylkin and Tsun-Hsuan Wang and Tim Seyde and Kyle Palko and Ross Allen and Alexander Amini and Daniela Rus,0.9227
IcebergHT: High performance PMEM hash tables through stability and low associativity,Tight Bounds for Classical Open Addressing,Prashant Pandey and Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9227
NICE: Robust scheduling through reinforcement learning-guided integer programming,Air Force Pilots Get an AI-Assist With Scheduling Aircrews,Luke Kenworthy and Siddharth Nayak and Christopher Chin and Hamsa Balakrishnan,Kylie Foy,0.9227
Cilkmem: Algorithms for analyzing the memory high-water mark of fork-join parallel programs,Efficient access history for race detection,Tim Kaler and William Kuszmaul and Tao B Schardl and Daniele Vettorel,Yifan Xu and Anchengcheng Zhou and Grace Q Yin and Kunal Agrawal and I-Ting Angelina Lee and Tao B Schardl,0.9227
Cilkmem: Algorithms for analyzing the memory high-water mark of fork-join parallel programs,Brief Announcement: Efficient Access History for Race Detection,Tim Kaler and William Kuszmaul and Tao B Schardl and Daniele Vettorel,Yifan Xu and Anchengcheng Zhou and Grace Yin and Kunal Agrawal and I Lee and Tao Schardl,0.9227
Equivariant contrastive learning,Exploring perceptual straightness in learned visual representations,Rumen Dangovski and Li Jing and Charlotte Loh and Seungwook Han and Akash Srivastava and Brian Cheung and Pulkit Agrawal and Marin Soljačić,Anne Harrington and Vasha DuTell and Ayush Tewari and Mark Hamilton and Simon Stent and Ruth Rosenholtz and William T Freeman,0.9226
Miso: exploiting multi-instance gpu capability on multi-tenant gpu clusters,Mashup: Making Serverless Computing Useful for HPC Workflows via Hybrid Execution,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Rohan Basu Roy and Tirthak Patel and Vijay Gadepally and Devesh Tiwari,0.9226
Unadversarial examples: Designing objects for robust vision,Fast training of deep neural networks robust to adversarial perturbations,Hadi Salman and Andrew Ilyas and Logan Engstrom and Sai Vemprala and Aleksander Madry and Ashish Kapoor,Justin Goodwin and Olivia Brown and Victoria Helus,0.9226
Unadversarial examples: Designing objects for robust vision,Understanding frank-wolfe adversarial training,Hadi Salman and Andrew Ilyas and Logan Engstrom and Sai Vemprala and Aleksander Madry and Ashish Kapoor,T Tsiligkaridis and J Roberts,0.9226
